gxp_id,datetime,capacity_MW,gxp_headroom_MW,tariff_base_nzd_per_MWh
EDN0331,2028-01-01T00:00:00,33.250000,10.580329,119.000000
EDN0331,2028-01-01T01:00:00,33.250000,11.021356,119.000000
EDN0331,2028-01-01T02:00:00,33.250000,11.425129,119.000000
EDN0331,2028-01-01T03:00:00,33.250000,11.712807,119.000000
EDN0331,2028-01-01T04:00:00,33.250000,11.643672,119.000000
EDN0331,2028-01-01T05:00:00,33.250000,10.943456,119.000000
EDN0331,2028-01-01T06:00:00,33.250000,10.035049,119.000000
EDN0331,2028-01-01T07:00:00,33.250000,9.902611,119.000000
EDN0331,2028-01-01T08:00:00,33.250000,10.572084,119.000000
EDN0331,2028-01-01T09:00:00,33.250000,11.101168,119.000000
EDN0331,2028-01-01T10:00:00,33.250000,11.603840,119.000000
EDN0331,2028-01-01T11:00:00,33.250000,11.491970,119.000000
EDN0331,2028-01-01T12:00:00,33.250000,11.572876,119.000000
EDN0331,2028-01-01T13:00:00,33.250000,11.776759,119.000000
EDN0331,2028-01-01T14:00:00,33.250000,10.488745,119.000000
EDN0331,2028-01-01T15:00:00,33.250000,9.216185,119.000000
EDN0331,2028-01-01T16:00:00,33.250000,9.405740,119.000000
EDN0331,2028-01-01T17:00:00,33.250000,9.648941,119.000000
EDN0331,2028-01-01T18:00:00,33.250000,10.052743,119.000000
EDN0331,2028-01-01T19:00:00,33.250000,9.356232,119.000000
EDN0331,2028-01-01T20:00:00,33.250000,9.467115,119.000000
EDN0331,2028-01-01T21:00:00,33.250000,9.732596,119.000000
EDN0331,2028-01-01T22:00:00,33.250000,9.873374,119.000000
EDN0331,2028-01-01T23:00:00,33.250000,10.076279,119.000000
EDN0331,2028-01-02T00:00:00,33.250000,10.308637,119.000000
EDN0331,2028-01-02T01:00:00,33.250000,10.887065,119.000000
EDN0331,2028-01-02T02:00:00,33.250000,11.473618,119.000000
EDN0331,2028-01-02T03:00:00,33.250000,11.890994,119.000000
EDN0331,2028-01-02T04:00:00,33.250000,11.587749,119.000000
EDN0331,2028-01-02T05:00:00,33.250000,10.994174,119.000000
EDN0331,2028-01-02T06:00:00,33.250000,9.980250,119.000000
EDN0331,2028-01-02T07:00:00,33.250000,10.016627,119.000000
EDN0331,2028-01-02T08:00:00,33.250000,10.965647,119.000000
EDN0331,2028-01-02T09:00:00,33.250000,11.674211,119.000000
EDN0331,2028-01-02T10:00:00,33.250000,12.222986,119.000000
EDN0331,2028-01-02T11:00:00,33.250000,12.426979,119.000000
EDN0331,2028-01-02T12:00:00,33.250000,12.194473,119.000000
EDN0331,2028-01-02T13:00:00,33.250000,12.527862,119.000000
EDN0331,2028-01-02T14:00:00,33.250000,11.071414,119.000000
EDN0331,2028-01-02T15:00:00,33.250000,10.001722,119.000000
EDN0331,2028-01-02T16:00:00,33.250000,9.596901,119.000000
EDN0331,2028-01-02T17:00:00,33.250000,10.228720,119.000000
EDN0331,2028-01-02T18:00:00,33.250000,10.119346,119.000000
EDN0331,2028-01-02T19:00:00,33.250000,9.593319,119.000000
EDN0331,2028-01-02T20:00:00,33.250000,9.478249,119.000000
EDN0331,2028-01-02T21:00:00,33.250000,9.894891,119.000000
EDN0331,2028-01-02T22:00:00,33.250000,10.010701,119.000000
EDN0331,2028-01-02T23:00:00,33.250000,10.013091,119.000000
EDN0331,2028-01-03T00:00:00,33.250000,10.169266,119.000000
EDN0331,2028-01-03T01:00:00,33.250000,10.672697,119.000000
EDN0331,2028-01-03T02:00:00,33.250000,11.231876,119.000000
EDN0331,2028-01-03T03:00:00,33.250000,11.672732,119.000000
EDN0331,2028-01-03T04:00:00,33.250000,11.310696,119.000000
EDN0331,2028-01-03T05:00:00,33.250000,10.197018,119.000000
EDN0331,2028-01-03T06:00:00,33.250000,9.262279,154.000000
EDN0331,2028-01-03T07:00:00,33.250000,8.937595,189.000000
EDN0331,2028-01-03T08:00:00,33.250000,9.950385,189.000000
EDN0331,2028-01-03T09:00:00,33.250000,10.566051,189.000000
EDN0331,2028-01-03T10:00:00,33.250000,10.996194,154.000000
EDN0331,2028-01-03T11:00:00,33.250000,10.957653,154.000000
EDN0331,2028-01-03T12:00:00,33.250000,11.174098,154.000000
EDN0331,2028-01-03T13:00:00,33.250000,11.120316,154.000000
EDN0331,2028-01-03T14:00:00,33.250000,10.182930,154.000000
EDN0331,2028-01-03T15:00:00,33.250000,9.335590,154.000000
EDN0331,2028-01-03T16:00:00,33.250000,9.216849,154.000000
EDN0331,2028-01-03T17:00:00,33.250000,9.618147,189.000000
EDN0331,2028-01-03T18:00:00,33.250000,10.133782,189.000000
EDN0331,2028-01-03T19:00:00,33.250000,9.446582,189.000000
EDN0331,2028-01-03T20:00:00,33.250000,9.634441,154.000000
EDN0331,2028-01-03T21:00:00,33.250000,10.045294,154.000000
EDN0331,2028-01-03T22:00:00,33.250000,10.234525,119.000000
EDN0331,2028-01-03T23:00:00,33.250000,10.190147,119.000000
EDN0331,2028-01-04T00:00:00,33.250000,10.713289,119.000000
EDN0331,2028-01-04T01:00:00,33.250000,10.979747,119.000000
EDN0331,2028-01-04T02:00:00,33.250000,11.274621,119.000000
