epoch_tag,strategy_id,strategy_label,future_id,U_inc_mult,U_headroom_mult,U_upgrade_capex_mult,U_voll,U_consents_uplift,selected_upgrade_name,selected_capacity_MW,annualised_upgrade_cost_nzd,annual_incremental_MWh,annual_shed_MWh,shed_fraction,annual_shed_cost_nzd,total_cost_nzd,max_exceed_MW,p95_exceed_MW,p99_exceed_MW,hours_exceed,hours_shed,menu_max_capacity_MW,menu_max_selected,satisficing_pass,voll_nzd_per_MWh_used,is_benchmark,is_policy,regret_vs_benchmark_nzd,regret_vs_best_policy_nzd,regret,n_hours_binding,unserved_peak_MW
2035_BB,S0,No upgrade (allow shedding),0,1.0,0.85,1.0,10000.0,1.25,none,0.0,0.0,592939.5973030096,236911.20192491444,0.3995536864168069,2369112019.2491446,2369112019.2491446,64.99438088248533,59.57657142573987,62.04638824197708,6365,6365,150.0,False,False,10000.0,False,True,2363870755.670351,2363870755.670351,2363870755.670351,6365,64.99438088248533
2035_BB,S1,Force fonterra_opt1_N_plus21MW,0,1.0,0.85,1.0,10000.0,1.25,fonterra_opt1_N_plus21MW,21.0,900109.6664833238,592939.5973030096,119855.62212138105,0.2021379962926161,1198556221.2138104,1199456330.8802938,43.99438088248533,39.211538514248325,41.284511456541686,4859,4859,150.0,False,False,10000.0,False,True,1194215067.3015003,1194215067.3015003,1194215067.3015003,4859,43.99438088248533
2035_BB,S2,Force fonterra_opt2_N-1_plus32MW,0,1.0,0.85,1.0,10000.0,1.25,fonterra_opt2_N-1_plus32MW,32.0,3197264.5444876393,592939.5973030096,70803.24904013993,0.11941055946033804,708032490.4013993,711229754.9458869,32.99438088248533,28.696637075370873,30.407745423414738,4041,4041,150.0,False,False,10000.0,False,True,705988491.3670933,705988491.3670933,705988491.3670933,4041,32.99438088248533
2035_BB,S3,Force fonterra_opt3_N_plus97MW,0,1.0,0.85,1.0,10000.0,1.25,fonterra_opt3_N_plus97MW,97.0,5241263.57879352,592939.5973030096,0.0,0.0,0.0,5241263.57879352,0.0,0.0,0.0,0,0,150.0,False,True,10000.0,False,True,0.0,0.0,0.0,0,0.0
2035_BB,S4,Force fonterra_opt4_N_plus150MW,0,1.0,0.85,1.0,10000.0,1.25,fonterra_opt4_N_plus150MW,150.0,7032106.769400966,592939.5973030096,0.0,0.0,0.0,7032106.769400966,0.0,0.0,0.0,0,0,150.0,True,True,10000.0,False,True,1790843.1906074462,1790843.1906074462,1790843.1906074462,0,0.0
2035_BB,S_AUTO,Auto-select upgrade (min cost),0,1.0,0.85,1.0,10000.0,1.25,fonterra_opt3_N_plus97MW,97.0,5241263.57879352,592939.5973030096,0.0,0.0,0.0,5241263.57879352,0.0,0.0,0.0,0,0,150.0,False,True,10000.0,True,False,0.0,0.0,0.0,0,0.0
2035_BB,S0,No upgrade (allow shedding),1,0.95,0.9,0.9,10000.0,1.3,none,0.0,0.0,563292.6174378591,199909.15583648914,0.3548939745487479,1999091558.3648913,1999091558.3648913,58.820254719331516,53.7106334801745,56.031655259749954,5917,5917,150.0,False,False,10000.0,False,True,1994185735.6551406,1994185735.6551406,1994185735.6551406,5917,58.820254719331516
2035_BB,S1,Force fonterra_opt1_N_plus21MW,1,0.95,0.9,0.9,10000.0,1.3,fonterra_opt1_N_plus21MW,21.0,842502.647828391,563292.6174378591,91898.0814374467,0.16314448049300886,918980814.374467,919823317.0222954,37.820254719331516,33.43012962223636,35.208744318973004,4403,4403,150.0,False,False,10000.0,False,True,914917494.3125446,914917494.3125446,914917494.3125446,4403,37.820254719331516
2035_BB,S2,Force fonterra_opt2_N-1_plus32MW,1,0.95,0.9,0.9,10000.0,1.3,fonterra_opt2_N-1_plus32MW,32.0,2992639.613640431,563292.6174378591,47939.12286371267,0.08510518579448839,479391228.6371267,482383868.2507671,26.820254719331516,22.89276564219214,24.324283829317505,3621,3621,150.0,False,False,10000.0,False,True,477478045.5410164,477478045.5410164,477478045.5410164,3621,26.820254719331516
2035_BB,S3,Force fonterra_opt3_N_plus97MW,1,0.95,0.9,0.9,10000.0,1.3,fonterra_opt3_N_plus97MW,97.0,4905822.709750735,563292.6174378591,0.0,0.0,0.0,4905822.709750735,0.0,0.0,0.0,0,0,150.0,False,True,10000.0,False,True,0.0,0.0,0.0,0,0.0
2035_BB,S4,Force fonterra_opt4_N_plus150MW,1,0.95,0.9,0.9,10000.0,1.3,fonterra_opt4_N_plus150MW,150.0,6582051.936159305,563292.6174378591,0.0,0.0,0.0,6582051.936159305,0.0,0.0,0.0,0,0,150.0,True,True,10000.0,False,True,1676229.22640857,1676229.22640857,1676229.22640857,0,0.0
2035_BB,S_AUTO,Auto-select upgrade (min cost),1,0.95,0.9,0.9,10000.0,1.3,fonterra_opt3_N_plus97MW,97.0,4905822.709750735,563292.6174378591,0.0,0.0,0.0,4905822.709750735,0.0,0.0,0.0,0,0,150.0,False,True,10000.0,True,False,0.0,0.0,0.0,0,0.0
2035_BB,S0,No upgrade (allow shedding),2,1.05,0.95,1.1,15000.0,1.2,none,0.0,0.0,622586.5771681601,232743.54244317138,0.3738332160995298,3491153136.6475706,3491153136.6475706,66.40803470235579,60.76091699565385,63.339637804749145,6125,6125,150.0,False,False,15000.0,False,True,3485618362.308365,3485618362.308365,3485618362.308365,6125,66.40803470235579
2035_BB,S1,Force fonterra_opt1_N_plus21MW,2,1.05,0.95,1.1,15000.0,1.2,fonterra_opt1_N_plus21MW,21.0,950515.8078063899,622586.5771681601,119832.30310067115,0.1924749223565489,1797484546.5100672,1798435062.3178737,45.408034702355785,40.470954111323735,42.51258418002625,4760,4760,150.0,False,False,15000.0,False,True,1792900287.9786677,1792900287.9786677,1792900287.9786677,4760,45.408034702355785
2035_BB,S2,Force fonterra_opt2_N-1_plus32MW,2,1.05,0.95,1.1,15000.0,1.2,fonterra_opt2_N-1_plus32MW,32.0,3376311.358978947,622586.5771681601,72052.47983273125,0.11573085973112769,1080787197.4909687,1084163508.8499477,34.408034702355785,29.952800856468137,31.69151604917879,3971,3971,150.0,False,False,15000.0,False,True,1078628734.5107417,1078628734.5107417,1078628734.5107417,3971,34.408034702355785
2035_BB,S3,Force fonterra_opt3_N_plus97MW,2,1.05,0.95,1.1,15000.0,1.2,fonterra_opt3_N_plus97MW,97.0,5534774.339205958,622586.5771681601,0.0,0.0,0.0,5534774.339205958,0.0,0.0,0.0,0,0,150.0,False,True,15000.0,False,True,0.0,0.0,0.0,0,0.0
2035_BB,S4,Force fonterra_opt4_N_plus150MW,2,1.05,0.95,1.1,15000.0,1.2,fonterra_opt4_N_plus150MW,150.0,7425904.748487421,622586.5771681601,0.0,0.0,0.0,7425904.748487421,0.0,0.0,0.0,0,0,150.0,True,True,15000.0,False,True,1891130.4092814634,1891130.4092814634,1891130.4092814634,0,0.0
2035_BB,S_AUTO,Auto-select upgrade (min cost),2,1.05,0.95,1.1,15000.0,1.2,fonterra_opt3_N_plus97MW,97.0,5534774.339205958,622586.5771681601,0.0,0.0,0.0,5534774.339205958,0.0,0.0,0.0,0,0,150.0,False,True,15000.0,True,False,0.0,0.0,0.0,0,0.0
2035_BB,S0,No upgrade (allow shedding),3,1.1,0.8,1.2,15000.0,1.4,none,0.0,0.0,652233.5570333105,301806.31667235156,0.4627273672411459,4527094750.085274,4527094750.085274,76.25922805057492,69.70693814984087,72.61344026163759,7057,7057,150.0,False,False,15000.0,False,True,4520050491.835375,4520050491.835375,4520050491.835375,7057,76.25922805057492
2035_BB,S1,Force fonterra_opt1_N_plus21MW,3,1.1,0.8,1.2,15000.0,1.4,fonterra_opt1_N_plus21MW,21.0,1209747.391753587,652233.5570333105,171169.91076175548,0.26243652893347463,2567548661.4263325,2568758408.818086,55.25922805057492,49.43157047056439,51.86989531854352,5383,5383,150.0,False,False,15000.0,False,True,2561714150.5681877,2561714150.5681877,2561714150.5681877,5383,55.25922805057492
2035_BB,S2,Force fonterra_opt2_N-1_plus32MW,3,1.1,0.8,1.2,15000.0,1.4,fonterra_opt2_N-1_plus32MW,32.0,4297123.547791388,652233.5570333105,114983.77623470547,0.1762923342333229,1724756643.520582,1729053767.0683734,44.25922805057492,38.72116303256249,40.92996715874845,4788,4788,150.0,False,False,15000.0,False,True,1722009508.818475,1722009508.818475,1722009508.818475,4788,44.25922805057492
2035_BB,S3,Force fonterra_opt3_N_plus97MW,3,1.1,0.8,1.2,15000.0,1.4,fonterra_opt3_N_plus97MW,97.0,7044258.249898491,652233.5570333105,0.0,0.0,0.0,7044258.249898491,0.0,0.0,0.0,0,0,150.0,False,True,15000.0,False,True,0.0,0.0,0.0,0,0.0
2035_BB,S4,Force fonterra_opt4_N_plus150MW,3,1.1,0.8,1.2,15000.0,1.4,fonterra_opt4_N_plus150MW,150.0,9451151.498074898,652233.5570333105,0.0,0.0,0.0,9451151.498074898,0.0,0.0,0.0,0,0,150.0,True,True,15000.0,False,True,2406893.248176407,2406893.248176407,2406893.248176407,0,0.0
2035_BB,S_AUTO,Auto-select upgrade (min cost),3,1.1,0.8,1.2,15000.0,1.4,fonterra_opt3_N_plus97MW,97.0,7044258.249898491,652233.5570333105,0.0,0.0,0.0,7044258.249898491,0.0,0.0,0.0,0,0,150.0,False,True,15000.0,True,False,0.0,0.0,0.0,0,0.0
2035_BB,S0,No upgrade (allow shedding),4,1.0,0.9,1.0,20000.0,1.25,none,0.0,0.0,592939.5973030096,222951.27994519804,0.3760101045018644,4459025598.903961,4459025598.903961,63.39435971786712,57.99128144009921,60.47250276876331,6152,6152,150.0,False,False,20000.0,False,True,4453784335.325168,4453784335.325168,4453784335.325168,6152,63.39435971786712
2035_BB,S1,Force fonterra_opt1_N_plus21MW,4,1.0,0.9,1.0,20000.0,1.25,fonterra_opt1_N_plus21MW,21.0,900109.6664833238,592939.5973030096,110283.73353180804,0.1859948872253337,2205674670.636161,2206574780.3026443,42.39435971786712,37.73203135092528,39.665994165300965,4716,4716,150.0,False,False,20000.0,False,True,2201333516.7238507,2201333516.7238507,2201333516.7238507,4716,42.39435971786712
2035_BB,S2,Force fonterra_opt2_N-1_plus32MW,4,1.0,0.9,1.0,20000.0,1.25,fonterra_opt2_N-1_plus32MW,32.0,3197264.5444876393,592939.5973030096,63343.09142694367,0.10682891092964648,1266861828.5388734,1270059093.0833611,31.39435971786712,27.22621805641382,28.820976653911767,3875,3875,150.0,False,False,20000.0,False,True,1264817829.5045676,1264817829.5045676,1264817829.5045676,3875,31.39435971786712
2035_BB,S3,Force fonterra_opt3_N_plus97MW,4,1.0,0.9,1.0,20000.0,1.25,fonterra_opt3_N_plus97MW,97.0,5241263.57879352,592939.5973030096,0.0,0.0,0.0,5241263.57879352,0.0,0.0,0.0,0,0,150.0,False,True,20000.0,False,True,0.0,0.0,0.0,0,0.0
2035_BB,S4,Force fonterra_opt4_N_plus150MW,4,1.0,0.9,1.0,20000.0,1.25,fonterra_opt4_N_plus150MW,150.0,7032106.769400966,592939.5973030096,0.0,0.0,0.0,7032106.769400966,0.0,0.0,0.0,0,0,150.0,True,True,20000.0,False,True,1790843.1906074462,1790843.1906074462,1790843.1906074462,0,0.0
2035_BB,S_AUTO,Auto-select upgrade (min cost),4,1.0,0.9,1.0,20000.0,1.25,fonterra_opt3_N_plus97MW,97.0,5241263.57879352,592939.5973030096,0.0,0.0,0.0,5241263.57879352,0.0,0.0,0.0,0,0,150.0,False,True,20000.0,True,False,0.0,0.0,0.0,0,0.0
2035_BB,S0,No upgrade (allow shedding),5,1.05,0.85,1.15,10000.0,1.35,none,0.0,0.0,622586.5771681601,261123.26838983982,0.41941679754414407,2611232683.8983984,2611232683.8983984,69.7443213035966,63.898468127856475,66.51415689067905,6549,6549,150.0,False,False,10000.0,False,True,2604723034.533537,2604723034.533537,2604723034.533537,6549,69.7443213035966
2035_BB,S1,Force fonterra_opt1_N_plus21MW,5,1.05,0.85,1.15,10000.0,1.35,fonterra_opt1_N_plus21MW,21.0,1117936.2057722881,622586.5771681601,139568.14739353338,0.22417468109955113,1395681473.9353337,1396799410.1411061,48.74432130359661,43.52318086528407,45.795067677232055,5068,5068,150.0,False,False,10000.0,False,True,1390289760.7762446,1390289760.7762446,1390289760.7762446,5068,48.74432130359661
2035_BB,S2,Force fonterra_opt2_N-1_plus32MW,5,1.05,0.85,1.15,10000.0,1.35,fonterra_opt2_N-1_plus32MW,32.0,3971002.5642536483,622586.5771681601,87721.4691092023,0.14089842654206278,877214691.092023,881185693.6562767,37.74432130359661,32.976991416915624,34.860211519718256,4281,4281,150.0,False,False,10000.0,False,True,874676044.2914151,874676044.2914151,874676044.2914151,4281,37.74432130359661
2035_BB,S3,Force fonterra_opt3_N_plus97MW,5,1.05,0.85,1.15,10000.0,1.35,fonterra_opt3_N_plus97MW,97.0,6509649.364861553,622586.5771681601,0.0,0.0,0.0,6509649.364861553,0.0,0.0,0.0,0,0,150.0,False,True,10000.0,False,True,0.0,0.0,0.0,0,0.0
2035_BB,S4,Force fonterra_opt4_N_plus150MW,5,1.05,0.85,1.15,10000.0,1.35,fonterra_opt4_N_plus150MW,150.0,8733876.607596003,622586.5771681601,0.0,0.0,0.0,8733876.607596003,0.0,0.0,0.0,0,0,150.0,True,True,10000.0,False,True,2224227.24273445,2224227.24273445,2224227.24273445,0,0.0
2035_BB,S_AUTO,Auto-select upgrade (min cost),5,1.05,0.85,1.15,10000.0,1.35,fonterra_opt3_N_plus97MW,97.0,6509649.364861553,622586.5771681601,0.0,0.0,0.0,6509649.364861553,0.0,0.0,0.0,0,0,150.0,False,True,10000.0,True,False,0.0,0.0,0.0,0,0.0
